id,Order,MS SubClass,MS Zoning,Lot Area,Lot Shape,Land Contour,Lot Config,Neighborhood,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Exter Qual,Foundation,BsmtFin SF 1,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
428,1449,18,RL,6286,Reg,Lvl,Inside,NAmes,1Fam,1Story,4,6,1983,1974,Gable,BrkFace,Plywood,TA,CBlock,1110,439,1265,TA,Y,SBrkr,1515,0,1416,0,1,0,2,0,TA,5,0,0,707,Y,292,0,6,2008,WD ,Normal,201517
429,1357,18,RL,8602,IR1,Lvl,Inside,CollgCr,1Fam,1Story,6,5,2008,2006,Gable,VinylSd,VinylSd,Gd,PConc,617,871,1304,Ex,Y,SBrkr,1453,0,1486,0,2,0,2,0,Gd,5,0,1,565,Y,0,107,7,2008,WD ,Normal,212324
430,661,19,RL,5273,IR1,Lvl,Inside,Blmngtn,1Fam,1Story,2,7,1966,2003,Gable,VinylSd,MetalSd,TA,CBlock,0,206,99,Ex,Y,SBrkr,884,0,1059,0,1,0,1,0,TA,4,0,0,0,N,41,0,9,2009,WD ,Normal,79315
431,2536,26,RL,8704,Reg,Lvl,Inside,OldTown,1Fam,1Story,5,6,1922,2006,Gable,MetalSd,MetalSd,TA,BrkTil,0,692,701,TA,Y,SBrkr,1436,0,1089,0,1,0,1,0,TA,6,0,0,376,Y,0,0,6,2006,WD ,Normal,126634
432,105,18,RL,7232,Reg,Lvl,Inside,Sawyer,1Fam,1Story,6,6,1981,1987,Gable,MetalSd,CmentBd,TA,CBlock,1639,482,1322,Ex,Y,SBrkr,1196,0,1128,0,1,0,2,0,TA,4,0,0,708,Y,199,0,5,2010,WD ,Normal,270949
433,200,153,RM,1119,IR1,Lvl,CulDSac,BrDale,Twnhs,SLvl,6,5,2007,1990,Gable,VinylSd,VinylSd,Gd,PConc,0,604,564,Ex,Y,SBrkr,917,871,1466,0,2,0,2,0,TA,4,0,1,523,Y,0,0,2,2010,WD ,Normal,132848
434,639,19,RL,1026,IR1,Lvl,Inside,Crawfor,1Fam,1Story,6,5,1999,1995,Gable,VinylSd,VinylSd,Gd,PConc,1026,262,1307,Ex,Y,SBrkr,1520,0,1376,0,2,0,1,0,Gd,5,0,1,566,Y,47,19,7,2009,WD ,Normal,124270
435,1910,57,RL,10478,IR1,Lvl,Inside,OldTown,1Fam,2Story,6,5,2007,1999,Gable,MetalSd,MetalSd,Gd,PConc,0,868,874,Ex,Y,SBrkr,1148,1644,2527,0,2,0,3,0,Gd,6,0,0,707,Y,116,10,11,2007,WD ,Normal,252332
436,1777,188,RM,852,Reg,Lvl,Inside,OldTown,1Fam,1Story,7,7,1926,1950,Gable,MetalSd,MetalSd,TA,CBlock,543,821,999,TA,Y,SBrkr,1066,0,1086,0,1,0,1,0,TA,4,0,1,375,Y,0,0,7,2007,WD ,Normal,124662
437,82,20,RL,6139,IR1,Lvl,Inside,Gilbert,1Fam,1Story,4,7,1975,1968,Gable,MetalSd,MetalSd,TA,CBlock,0,765,937,Gd,Y,SBrkr,1097,0,1000,0,1,0,1,0,TA,4,0,1,566,Y,0,10,4,2010,WD ,Normal,92615
438,10,18,RL,6463,Reg,Lvl,Inside,SawyerW,1Fam,1Story,5,5,1979,2006,Gable,Wd Sdng,Plywood,TA,PConc,1091,118,1201,Ex,Y,SBrkr,1892,0,1128,0,1,0,2,0,TA,5,0,1,566,Y,0,0,2,2010,WD ,Normal,148737
439,2753,17,RL,6612,Reg,Lvl,Inside,Somerst,1Fam,1Story,6,5,2011,2008,Gable,VinylSd,VinylSd,Gd,PConc,0,1798,1825,Ex,Y,SBrkr,1937,0,1738,0,2,0,2,0,Gd,6,0,1,566,Y,31,74,3,2006,WD ,Normal,289543
440,94,25,RL,6255,Reg,Lvl,Inside,Gilbert,1Fam,1Story,6,5,1926,1950,Gable,MetalSd,MetalSd,TA,BrkTil,0,751,1026,Ex,Y,SBrkr,779,0,980,0,1,0,2,0,Gd,4,0,0,376,Y,0,0,2,2009,WD ,Normal,120110
441,725,18,RL,1200,IR1,Lvl,Inside,Sawyer,1Fam,1Story,3,7,1963,1984,Hip,MetalSd,MetalSd,TA,CBlock,0,159,743,TA,Y,SBrkr,1007,0,1010,0,1,0,1,0,TA,4,0,1,566,Y,0,0,7,2009,WD ,Normal,95863
442,2171,51,RL,6618,Reg,Lvl,Inside,CollgCr,1Fam,1.5Fin,4,5,1961,1950,Gable,MetalSd,MetalSd,TA,CBlock,988,263,863,Ex,Y,SBrkr,1153,738,1097,0,1,0,3,0,Gd,4,0,0,377,Y,37,0,12,2007,WD ,Normal,115742
443,858,56,RL,8992,Reg,Lvl,Inside,CollgCr,1Fam,2Story,5,5,1997,1950,Gable,VinylSd,VinylSd,TA,PConc,0,913,879,Ex,Y,SBrkr,950,1101,1787,0,2,0,3,0,Gd,6,0,1,562,N,31,11,6,2007,WD ,Normal,125280
444,125,18,RL,6602,IR1,Lvl,Inside,Gilbert,1Fam,1Story,4,6,1957,2002,Gable,VinylSd,VinylSd,TA,PConc,0,265,298,Gd,Y,SBrkr,1200,0,1004,0,2,0,1,0,TA,4,0,1,556,Y,0,10,4,2009,WD ,Normal,115612
445,698,17,RL,2226,IR1,Lvl,Inside,CollgCr,1Fam,1Story,6,5,2001,2002,Gable,Plywood,VinylSd,TA,PConc,1094,582,1608,Ex,Y,SBrkr,1395,0,1388,0,2,0,0,0,TA,4,0,1,707,Y,66,10,6,2009,WD ,Normal,241781
446,2650,17,RL,6523,IR1,Lvl,Inside,Sawyer,1Fam,1Story,6,7,1979,2006,Hip,HdBoard,HdBoard,TA,CBlock,0,143,1011,TA,Y,SBrkr,986,0,984,0,1,0,1,0,TA,6,0,1,506,Y,35,0,5,2006,WD ,Normal,157412
447,799,18,RL,9675,Reg,Lvl,Inside,NAmes,1Fam,1Story,4,7,2008,1971,Gable,Plywood,Plywood,Gd,CBlock,406,17,1657,Ex,Y,SBrkr,1968,0,1765,0,2,0,1,0,Gd,5,0,1,566,Y,32,9,8,2009,WD ,Normal,191036
448,1370,18,RL,6306,Reg,Lvl,Inside,NAmes,1Fam,1Story,4,7,1956,2003,Gable,Wd Sdng,Wd Sdng,TA,CBlock,364,19,1353,TA,Y,SBrkr,1521,0,1437,0,1,0,2,0,TA,5,0,0,378,Y,0,0,7,2007,WD ,Normal,118508
449,4,18,RL,10301,IR1,Lvl,Inside,MeadowV,1Fam,1Story,5,6,1967,1973,Gable,MetalSd,MetalSd,TA,CBlock,0,92,1688,TA,Y,SBrkr,1774,0,1714,0,2,0,2,0,Gd,6,0,1,1100,Y,0,110,1,2008,WD ,Normal,161462
450,2531,119,RL,1925,IR1,Lvl,Inside,CollgCr,TwnhsE,1Story,6,5,1998,2002,Gable,Plywood,Plywood,Gd,PConc,1047,941,933,Ex,Y,SBrkr,1486,0,1386,0,2,0,1,0,TA,4,0,1,564,Y,93,15,0,2007,WD ,Normal,255968
451,2565,51,RM,1260,IR1,Lvl,Inside,Edwards,1Fam,1Story,5,5,1961,2000,Gable,MetalSd,MetalSd,TA,CBlock,0,966,968,Ex,Y,SBrkr,1130,0,1118,0,1,0,1,0,TA,4,1,0,373,Y,34,17,7,2006,WD ,Normal,147647
452,1353,73,RL,10583,Reg,Lvl,Corner,NWAmes,1Fam,SLvl,4,6,1972,2005,Gable,HdBoard,Wd Sdng,TA,CBlock,0,947,893,Gd,Y,SBrkr,1124,717,1791,0,1,0,1,0,TA,6,0,1,1105,Y,0,0,9,2008,WD ,Normal,126472
453,742,26,RL,7169,Reg,Lvl,Inside,IDOTRR,1Fam,1Story,4,7,1923,1950,Gable,Wd Sdng,Wd Sdng,TA,CBlock,680,496,923,TA,Y,SBrkr,1534,0,1454,0,1,0,2,0,TA,5,0,0,378,Y,0,10,2,2009,WD ,Normal,137002
454,881,44,RM,6818,Reg,Lvl,Inside,BrkSide,1Fam,1.5Fin,5,6,1925,1950,Gable,MetalSd,MetalSd,TA,BrkTil,0,895,698,TA,Y,FuseA,1166,631,1528,0,1,0,2,0,Gd,6,0,1,378,Y,0,0,7,2009,WD ,Normal,129996
455,335,18,FV,7132,Reg,Lvl,Inside,Somerst,1Fam,1Story,6,6,2010,2009,Gable,VinylSd,VinylSd,Gd,BrkTil,0,1067,1372,Ex,Y,SBrkr,1379,0,1314,0,2,0,2,0,Gd,5,0,1,1107,Y,0,62,5,2009,WD ,Normal,208230
456,994,18,RL,9483,Reg,HLS,Inside,StoneBr,1Fam,1Story,8,5,1986,2009,Hip,HdBoard,MetalSd,Ex,PConc,1657,606,1642,Gd,Y,SBrkr,1877,0,1731,0,2,0,2,0,Ex,6,0,1,703,Y,214,11,11,2008,WD ,Normal,382410
457,2634,44,RL,7937,IR1,Lvl,Inside,OldTown,1Fam,1.5Fin,4,7,1920,2004,Hip,Wd Sdng,Wd Sdng,TA,PConc,0,887,887,TA,Y,SBrkr,1167,707,1872,0,1,0,3,0,TA,6,0,1,565,Y,0,0,6,2006,WD ,Normal,139025
458,878,55,RL,7970,IR1,Lvl,Inside,Gilbert,1Fam,2Story,5,5,2002,2001,Gable,VinylSd,VinylSd,Gd,PConc,0,947,1031,Ex,Y,SBrkr,934,868,1842,0,2,0,2,0,Gd,6,0,1,564,Y,32,53,10,2009,WD ,Normal,189051
459,1360,17,RL,8418,IR2,Lvl,Inside,Crawfor,1Fam,1Story,8,5,2010,2009,Hip,VinylSd,VinylSd,TA,PConc,1772,538,1744,Gd,Y,SBrkr,2001,0,1988,0,2,0,2,0,Ex,6,0,1,1104,Y,272,55,11,2008,WD ,Normal,407296
460,150,48,RM,7552,Reg,Lvl,Inside,Somerst,1Fam,SLvl,7,5,2011,2006,Gable,VinylSd,VinylSd,Gd,PConc,0,1828,1758,Ex,Y,SBrkr,1031,784,1823,0,2,0,1,0,Gd,6,0,1,564,Y,0,91,2,2009,WD ,Normal,199007
461,1052,54,RL,8550,Reg,Lvl,Corner,NAmes,1Fam,2Story,6,5,2003,2006,Gable,VinylSd,VinylSd,TA,PConc,613,1421,1363,Gd,Y,SBrkr,1543,1128,2614,0,2,0,2,0,Ex,6,0,2,1089,Y,34,10,5,2008,WD ,Normal,278399
462,2558,18,RL,6721,Reg,Lvl,Inside,NAmes,1Fam,1Story,4,5,1956,2006,Gable,Wd Sdng,MetalSd,TA,PConc,940,600,1243,Ex,Y,SBrkr,1510,0,1468,0,2,0,3,0,Gd,5,0,1,564,Y,0,0,2,2006,WD ,Normal,189434
463,2216,45,RL,6892,Reg,Lvl,Corner,IDOTRR,1Fam,1.5Fin,5,5,1929,1950,Gable,Wd Sdng,Wd Sdng,TA,BrkTil,663,227,931,Gd,Y,SBrkr,1209,862,1755,0,2,0,3,0,Gd,4,0,1,376,Y,0,0,5,2007,WD ,Normal,173197
464,1143,161,RM,805,Reg,Lvl,Inside,Edwards,Twnhs,SLvl,3,5,1978,1973,Gable,CemntBd,HdBoard,TA,CBlock,430,607,611,TA,Y,SBrkr,600,573,1145,0,1,0,1,0,TA,4,0,1,378,Y,0,105,4,2008,WD ,Normal,122441
465,1249,45,RL,11039,Reg,Lvl,Inside,BrkSide,1Fam,1.5Fin,8,5,2006,2009,Hip,VinylSd,VinylSd,Ex,PConc,1777,621,1626,Ex,Y,SBrkr,1996,0,2394,0,2,0,2,0,Ex,7,0,1,559,Y,47,60,6,2009,WD ,Normal,413684
466,2089,65,RL,8064,Reg,Lvl,Inside,OldTown,1Fam,2Story,6,6,2003,2004,Gable,VinylSd,VinylSd,TA,PConc,0,824,1009,Ex,Y,SBrkr,1142,881,1806,0,1,0,2,0,TA,6,0,1,566,Y,0,11,7,2006,WD ,Normal,202602
467,1002,53,RL,10533,IR1,Lvl,Inside,CollgCr,1Fam,2Story,6,5,2005,2003,Gable,VinylSd,VinylSd,Gd,PConc,1003,459,988,Ex,Y,SBrkr,1205,1032,1901,0,2,0,3,0,Gd,6,0,1,566,Y,0,0,2,2009,WD ,Normal,286365
468,1765,23,RL,1780,Reg,Lvl,Inside,OldTown,1Fam,1Story,4,6,1925,2004,Gable,Wd Sdng,Wd Sdng,TA,BrkTil,0,523,1313,Ex,Y,SBrkr,1171,0,1126,0,1,0,2,0,TA,4,0,0,559,Y,0,0,7,2007,WD ,Normal,102323
469,1388,18,RL,6316,Reg,Lvl,Inside,CollgCr,1Fam,1Story,7,5,2004,2005,Gable,VinylSd,VinylSd,Gd,PConc,0,1277,1168,Gd,Y,SBrkr,1438,0,1075,0,1,0,1,0,Gd,6,0,1,378,N,0,74,5,2007,WD ,Normal,249549
470,283,17,RL,6138,Reg,Lvl,Inside,NWAmes,1Fam,1Story,6,6,1985,1972,Gable,HdBoard,Plywood,TA,CBlock,1738,898,1709,Gd,Y,SBrkr,1969,0,1775,0,2,0,2,0,Gd,4,0,1,565,Y,35,51,6,2010,WD ,Normal,197120
471,111,18,RL,6334,Reg,Lvl,Inside,NAmes,1Fam,1Story,6,5,1973,2000,Gable,Plywood,Plywood,TA,CBlock,1085,228,1335,TA,Y,SBrkr,1433,0,1386,0,2,0,2,0,TA,4,0,0,1107,Y,0,58,4,2010,WD ,Normal,177136
472,15,18,RL,8191,IR1,Lvl,Inside,NAmes,1Fam,1Story,4,7,1961,1964,Hip,VinylSd,MetalSd,TA,CBlock,0,0,971,TA,Y,SBrkr,1145,0,1174,0,1,0,2,0,TA,4,0,1,370,Y,0,0,10,2010,WD ,Normal,104915
473,1979,18,RL,7361,Reg,Lvl,Inside,SawyerW,1Fam,1Story,5,7,2000,2006,Gable,VinylSd,VinylSd,Gd,PConc,662,0,1327,Gd,Y,SBrkr,1523,0,1300,0,2,0,2,0,Gd,6,0,1,566,Y,32,15,7,2007,WD ,Normal,253998
474,1943,53,RL,8479,Reg,Lvl,Inside,NAmes,1Fam,2Story,6,5,2005,1960,Gable,VinylSd,VinylSd,TA,PConc,1001,181,1357,Ex,Y,SBrkr,1161,1571,2629,0,2,0,3,0,Gd,6,0,1,553,Y,32,0,7,2008,WD ,Normal,213846
475,0,18,RL,6248,Reg,Lvl,Inside,NWAmes,1Fam,1Story,7,6,1927,1950,Gable,MetalSd,MetalSd,TA,CBlock,557,275,1073,Ex,Y,SBrkr,991,0,1056,0,1,0,1,0,TA,4,1,1,375,Y,33,55,10,2009,WD ,Normal,101184
476,1965,55,RL,6651,Reg,Lvl,Inside,CollgCr,1Fam,2Story,6,5,2008,2007,Gable,VinylSd,VinylSd,Gd,PConc,1052,516,1055,Ex,Y,SBrkr,1127,1059,1923,0,2,0,3,0,Gd,6,0,1,707,Y,0,24,7,2007,WD ,Normal,211019
477,870,157,RL,6240,IR1,Lvl,Inside,Gilbert,1Fam,1Story,7,5,2008,1980,Gable,HdBoard,HdBoard,TA,CBlock,694,863,916,TA,Y,SBrkr,1493,0,1347,0,2,0,1,0,Gd,4,0,1,565,Y,0,0,12,2009,WD ,Normal,188567
478,2826,53,RL,10218,IR1,Lvl,Inside,NridgHt,1Fam,2Story,8,5,2010,2008,Gable,VinylSd,VinylSd,Gd,PConc,637,965,1720,Ex,Y,SBrkr,1996,1129,2524,0,2,0,2,0,Ex,6,0,2,1072,Y,43,13,3,2006,WD ,Normal,363291
479,822,44,RL,7026,Reg,Lvl,Corner,IDOTRR,1Fam,1.5Fin,4,6,1960,1950,Gable,MetalSd,HdBoard,TA,BrkTil,1071,316,1259,TA,Y,FuseA,1180,743,1365,0,1,0,2,0,TA,6,0,0,378,Y,0,0,6,2009,WD ,Normal,142128
480,1378,55,RL,9622,Reg,Lvl,Inside,CollgCr,1Fam,2Story,6,5,2006,2001,Gable,VinylSd,VinylSd,TA,PConc,513,289,1062,Ex,Y,SBrkr,1144,1067,1761,0,2,0,2,0,Gd,6,0,0,706,Y,128,10,6,2008,WD ,Normal,276326
481,2050,77,RL,8800,IR1,Lvl,Inside,NWAmes,1Fam,1Story,5,5,1964,1986,Gable,Plywood,Plywood,Gd,CBlock,214,296,922,TA,Y,SBrkr,1110,0,1081,0,1,0,1,0,Gd,6,0,1,566,Y,45,0,9,2007,WD ,Normal,134719
482,16,79,RL,6146,IR1,Lvl,Inside,NAmes,1Fam,1Story,6,5,1954,1966,Gable,VinylSd,VinylSd,TA,CBlock,978,287,1047,TA,Y,SBrkr,1110,0,1077,0,1,0,1,0,TA,4,0,0,378,Y,36,0,5,2010,WD ,Normal,133751
483,2033,18,RL,6656,IR1,Lvl,Inside,NAmes,1Fam,1Story,6,7,1973,2006,Gable,Plywood,Plywood,TA,CBlock,670,912,1405,TA,Y,SBrkr,1937,0,1611,0,2,0,1,0,TA,7,0,1,707,Y,0,13,7,2007,WD ,Normal,391320
484,879,55,RL,11558,IR1,Lvl,Inside,NAmes,1Fam,2Story,7,5,2007,2003,Gable,VinylSd,VinylSd,Gd,PConc,1025,226,1331,Ex,Y,SBrkr,1529,1594,3640,0,2,0,3,0,Gd,7,0,2,1104,Y,46,10,6,2009,WD ,Normal,411406
485,1692,17,RL,7012,Reg,Lvl,Inside,NridgHt,1Fam,2Story,6,5,2009,2007,Gable,VinylSd,VinylSd,Gd,PConc,1705,230,1698,Ex,Y,SBrkr,1987,805,1862,0,2,0,2,0,Gd,6,0,1,566,Y,97,14,7,2008,WD ,Normal,409463
486,271,53,RL,7569,Reg,Lvl,Inside,NAmes,1Fam,SLvl,5,5,1969,2005,Gable,Wd Sdng,HdBoard,TA,CBlock,0,945,852,Gd,Y,SBrkr,1192,756,1545,0,1,0,1,0,TA,5,0,1,566,Y,43,10,2,2009,WD ,Normal,116541
487,1429,17,RL,6222,Reg,Lvl,Inside,CollgCr,1Fam,1Story,6,5,2009,2009,Gable,VinylSd,MetalSd,Gd,PConc,577,956,1359,Ex,Y,SBrkr,1399,0,1355,0,1,0,2,0,Gd,6,0,0,1107,Y,0,60,2,2008,WD ,Normal,174359
488,0,18,RL,8261,Reg,Lvl,Corner,NAmes,1Fam,1Story,7,7,1966,1974,Gable,Wd Sdng,Wd Sdng,TA,CBlock,0,1296,1292,Ex,Y,SBrkr,1464,0,1443,0,1,0,2,0,TA,5,0,1,566,Y,0,0,5,2009,WD ,Normal,160318
489,1184,19,RM,6061,Reg,Lvl,Inside,NAmes,1Fam,1Story,4,6,1957,1973,Hip,MetalSd,MetalSd,TA,CBlock,0,1226,972,TA,Y,SBrkr,1174,0,1038,0,1,0,2,0,TA,4,0,0,377,Y,0,0,5,2008,WD ,Normal,108683
490,0,17,RL,6031,Reg,Lvl,Corner,SawyerW,1Fam,1Story,6,5,1952,1971,Hip,VinylSd,VinylSd,TA,CBlock,865,260,875,Ex,Y,SBrkr,1157,0,1098,0,1,0,2,0,TA,4,0,0,378,Y,206,0,5,2010,WD ,Normal,135407
491,1917,44,RL,11069,Reg,Lvl,Inside,SawyerW,1Fam,1.5Fin,5,5,1927,2006,Gable,VinylSd,Wd Sdng,TA,CBlock,0,1347,1238,Ex,Y,SBrkr,1209,0,1744,0,2,0,1,0,TA,6,0,1,565,Y,0,11,4,2007,WD ,Normal,187879
492,1903,19,RL,8241,Reg,Lvl,FR2,CollgCr,1Fam,1Story,6,6,2005,2004,Gable,VinylSd,VinylSd,TA,PConc,506,72,1971,Ex,Y,SBrkr,1142,0,1155,0,2,0,2,0,TA,5,0,0,378,Y,152,0,5,2007,WD ,Normal,191126
493,1941,18,RL,7177,Reg,Lvl,Inside,OldTown,1Fam,1Story,5,5,2010,2008,Gable,VinylSd,VinylSd,Gd,PConc,0,1337,1515,Ex,Y,SBrkr,1929,0,1748,0,2,0,1,0,Gd,6,0,1,703,Y,39,42,4,2007,WD ,Normal,280733
494,605,44,RL,1355,Reg,Lvl,Inside,BrkSide,1Fam,1.5Fin,4,7,1958,2008,Hip,MetalSd,MetalSd,TA,CBlock,0,958,932,TA,Y,FuseA,1141,649,1232,0,1,0,2,0,TA,5,0,0,378,Y,0,0,5,2009,WD ,Normal,164422
495,896,55,RL,12925,IR1,Lvl,Inside,CollgCr,1Fam,2Story,6,5,2009,2006,Gable,VinylSd,VinylSd,Gd,PConc,947,284,1381,Ex,Y,SBrkr,1150,1094,1899,0,2,0,2,0,Gd,6,0,1,707,Y,45,9,7,2010,WD ,Normal,200778
496,2547,45,RL,10165,Reg,Lvl,Inside,NAmes,1Fam,SLvl,5,7,1965,1973,Hip,Wd Sdng,Wd Sdng,TA,CBlock,642,237,1158,TA,Y,SBrkr,1436,731,1502,0,1,0,2,0,TA,3,0,1,708,Y,0,0,11,2006,WD ,Normal,137744
497,2259,18,RL,7874,IR1,Lvl,Inside,NridgHt,1Fam,1Story,6,5,2009,2006,Gable,VinylSd,VinylSd,Gd,PConc,1691,516,1613,Ex,Y,SBrkr,1974,0,1785,0,2,0,2,0,Gd,6,0,2,566,Y,33,11,7,2006,WD ,Normal,286704
498,1923,18,RL,935,Reg,Lvl,Inside,CollgCr,1Fam,1Story,4,7,1960,1970,Gable,Wd Sdng,VinylSd,TA,CBlock,0,574,1270,Ex,Y,SBrkr,1496,0,1443,0,1,0,2,0,TA,5,0,0,378,Y,0,0,5,2007,WD ,Normal,139043
499,1095,17,RL,7084,Reg,Lvl,Inside,NWAmes,1Fam,1Story,2,4,1982,1968,Hip,HdBoard,HdBoard,TA,CBlock,570,321,1057,Gd,Y,SBrkr,1070,0,1107,0,1,0,2,0,TA,6,0,1,566,Y,32,0,10,2009,WD ,Normal,158899
500,305,18,RL,891,Reg,Lvl,Inside,NAmes,1Fam,1Story,4,7,1976,1986,Gable,MetalSd,MetalSd,TA,CBlock,1144,81,1183,TA,Y,SBrkr,1130,0,1003,0,1,0,2,0,TA,6,0,0,378,Y,0,0,6,2010,WD ,Normal,147906
501,1202,19,RL,6692,IR1,Lvl,Inside,NAmes,1Fam,1Story,5,5,1999,2007,Gable,VinylSd,VinylSd,Gd,CBlock,85,1803,1855,Ex,Y,SBrkr,1891,0,1761,0,2,0,1,0,Gd,6,0,0,378,Y,31,14,5,2008,WD ,Normal,146382
502,2570,44,RM,4441,Reg,Lvl,Inside,BrkSide,1Fam,1.5Fin,5,6,1922,1950,Gable,MetalSd,HdBoard,TA,BrkTil,0,889,895,Gd,Y,SBrkr,1052,731,1335,0,1,0,2,0,Gd,6,0,0,377,Y,117,0,11,2007,WD ,Normal,141624
503,1757,17,RL,10066,Reg,Lvl,FR2,CollgCr,1Fam,1Story,6,5,2005,1994,Gable,VinylSd,VinylSd,Gd,PConc,643,1094,1394,Ex,Y,SBrkr,1455,0,1722,0,2,0,2,0,Gd,6,0,1,566,Y,0,9,5,2008,WD ,Normal,198254
504,2281,56,RL,11567,IR1,Lvl,Inside,Gilbert,1Fam,2Story,8,5,2011,2008,Gable,VinylSd,MetalSd,Ex,PConc,0,1201,1411,Ex,Y,SBrkr,1167,1599,2603,0,2,0,3,0,Gd,6,0,1,554,Y,0,9,4,2007,New,Partial,273803
505,365,55,RL,7734,IR1,Lvl,Inside,Gilbert,1Fam,2Story,6,5,1997,2002,Gable,VinylSd,VinylSd,Gd,PConc,0,513,775,Gd,Y,SBrkr,965,895,1671,0,2,0,2,0,TA,6,0,1,565,Y,31,10,2,2009,WD ,Normal,99583
506,1078,56,RL,6824,IR1,HLS,Inside,Gilbert,1Fam,2Story,8,5,2004,2009,Gable,VinylSd,VinylSd,Ex,PConc,1131,612,971,Gd,Y,SBrkr,1000,1136,1868,0,2,0,2,0,Ex,6,0,2,498,Y,121,15,7,2009,WD ,Normal,395734
507,305,18,RL,6151,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,5,2001,2003,Gable,VinylSd,Wd Sdng,TA,PConc,0,1208,940,Gd,Y,SBrkr,1527,0,1425,0,1,0,2,0,TA,5,0,0,0,Y,0,71,2,2009,WD ,Normal,122440
508,2025,119,RL,7834,Reg,Lvl,Corner,Somerst,1Fam,1Story,4,7,1976,1987,Gable,Plywood,Plywood,TA,CBlock,1101,5,1223,TA,Y,SBrkr,1415,0,1336,0,2,0,2,0,TA,4,0,0,566,Y,55,0,0,2007,WD ,Normal,158917
509,827,119,RL,1157,Reg,Lvl,Inside,CollgCr,TwnhsE,1Story,5,5,2002,1955,Gable,VinylSd,VinylSd,Gd,PConc,1105,310,1095,Ex,Y,SBrkr,1923,0,1511,0,2,0,0,0,Gd,3,0,1,561,Y,61,0,10,2008,WD ,Normal,178731
510,229,17,RL,6521,Reg,Lvl,Inside,NWAmes,1Fam,1Story,5,7,1998,2004,Gable,VinylSd,HdBoard,TA,PConc,300,4,1319,Ex,Y,SBrkr,1516,0,1363,0,1,0,2,0,TA,4,0,0,0,Y,0,0,2,2009,WD ,Normal,179241
511,1957,83,RL,9790,Reg,Lvl,Inside,NridgHt,Duplex,1Story,3,5,2007,1974,Gable,VinylSd,VinylSd,Gd,PConc,0,1182,1831,Ex,Y,SBrkr,1956,0,1819,0,2,0,1,1,Gd,6,0,1,707,Y,0,17,1,2006,WD ,Normal,272637
512,0,25,RM,1002,Reg,Lvl,Inside,BrkSide,1Fam,1Story,4,7,1928,1950,Gable,MetalSd,MetalSd,TA,BrkTil,0,866,703,TA,Y,SBrkr,883,0,937,0,1,0,1,0,TA,3,0,0,371,Y,0,0,5,2010,WD ,Normal,86659
513,824,160,RM,6456,IR1,Lvl,Inside,Somerst,Twnhs,SLvl,5,5,1973,2003,Gable,CemntBd,CmentBd,TA,CBlock,623,617,525,TA,Y,SBrkr,766,854,1180,0,2,0,0,0,TA,4,0,0,374,Y,58,0,5,2009,WD ,Normal,88154
514,2649,160,RL,7151,IR1,Lvl,Inside,Somerst,1Fam,2Story,6,5,2005,2003,Gable,VinylSd,CmentBd,Gd,PConc,1077,169,733,Ex,Y,SBrkr,1202,862,1850,0,2,0,2,0,Gd,6,0,0,378,Y,38,16,6,2006,WD ,Normal,204798
515,1214,119,RL,6256,IR1,Lvl,Inside,NridgHt,1Fam,1Story,8,5,2010,2009,Gable,VinylSd,VinylSd,Ex,PConc,1740,507,1672,Ex,Y,SBrkr,1948,0,1766,0,2,0,2,0,Ex,5,0,1,565,Y,30,61,12,2006,New,Partial,408960
516,1855,18,RM,1253,Reg,Lvl,Inside,NAmes,1Fam,1Story,3,6,1954,1969,Gable,MetalSd,Wd Sdng,TA,CBlock,0,0,1788,TA,Y,SBrkr,1196,0,1145,0,1,0,1,0,TA,4,0,0,378,Y,0,0,7,2006,WD ,Normal,102590
517,2072,68,RL,7377,Reg,Lvl,Inside,OldTown,1Fam,1Story,4,5,1926,1950,Gable,MetalSd,VinylSd,TA,BrkTil,1033,0,936,Ex,Y,SBrkr,1026,0,1057,0,1,0,2,0,TA,4,0,1,378,Y,0,0,7,2007,WD ,Normal,83935
518,515,18,RL,9078,Reg,Lvl,Inside,NridgHt,1Fam,1Story,6,5,2011,2007,Gable,VinylSd,VinylSd,Gd,PConc,0,1390,1672,Ex,Y,SBrkr,1861,0,1756,0,2,0,2,0,Gd,5,0,1,708,Y,31,15,7,2009,New,Partial,270062
519,2173,18,RL,6299,Reg,Lvl,Inside,Somerst,1Fam,1Story,5,5,2009,2008,Gable,VinylSd,VinylSd,Gd,PConc,594,298,997,Ex,Y,SBrkr,1477,0,1394,0,2,0,2,0,Gd,6,0,1,566,Y,122,54,6,2006,WD ,Normal,213570
